                    ell                     uy1                     uy3
  0.000000000000000E+00   0.000000000000000E+00   0.000000000000000E+00
  5.000000000000000E-02  -3.384764915688844E-02  -1.338476491568886E-01
  9.954456525557301E-02  -6.855527885710884E-02  -2.676444093682551E-01
  1.485331934002363E-01  -1.043050702717018E-01  -4.013714570721744E-01
  1.968284175215663E-01  -1.413432234830918E-01  -5.350000585262245E-01
  2.442351629760648E-01  -1.800139377316063E-01  -6.684842636837360E-01
  2.904620083343953E-01  -2.208218362272351E-01  -8.017458528960257E-01
  3.350422963354187E-01  -2.645553407058084E-01  -9.346399333766460E-01
  3.771500707469849E-01  -3.125632425462699E-01  -1.066863384040240E+00
  4.150740467964009E-01  -3.675000003667918E-01  -1.197648093959594E+00
  4.440863686998283E-01  -4.360471784769318E-01  -1.324219915876589E+00
  4.383721106214928E-01  -5.453541445767537E-01  -1.422098365819739E+00
  4.013789447755475E-01  -6.076924559454000E-01  -1.410450345496495E+00
  3.590188449317513E-01  -6.519705426907901E-01  -1.370008232554293E+00
  2.758121139915622E-01  -7.152928719011566E-01  -1.266917099884281E+00
  1.950613700705681E-01  -7.644302593184650E-01  -1.154552999459601E+00
  1.156728584886179E-01  -8.073956958581411E-01  -1.038741412835377E+00
  3.696674566600913E-02  -8.475213649232104E-01  -9.214548562552288E-01
 -4.153947477433454E-02  -8.868354639305374E-01  -8.037565143818683E-01
 -1.202710797274830E-01  -9.270647332566736E-01  -6.865225738017077E-01
 -1.997172884098116E-01  -9.702772689658813E-01  -5.708426921462578E-01
 -2.805762642620287E-01  -1.019940248755864E+00  -4.587877202318069E-01
 -3.639642270899686E-01  -1.084617258366082E+00  -3.566888041861448E-01
 -4.431747949479335E-01  -1.200827253274552E+00  -3.144776633786849E-01
 -4.420230833015344E-01  -1.303494807075909E+00  -4.194486404728404E-01
 -4.117420875912582E-01  -1.370193488173278E+00  -5.467093129907616E-01
 -3.732981071397438E-01  -1.424290602657317E+00  -6.776943883778294E-01
 -3.309029999492250E-01  -1.471808967320813E+00  -8.100029674223629E-01
 -2.861388998591892E-01  -1.515219094681078E+00  -9.429412949627000E-01
 -2.397837318680417E-01  -1.555796236809401E+00  -1.076228773073318E+00
 -1.922821226990470E-01  -1.594293605242665E+00  -1.209729359844571E+00
 -1.439138707838191E-01  -1.631196665287663E+00  -1.343368923720025E+00
 -9.486730365174958E-02  -1.666838229985246E+00  -1.477103622681747E+00
 -4.527563530319533E-02  -1.701457178101259E+00  -1.610905907494868E+00
  4.763240151112350E-03  -1.735231157800163E+00  -1.744757638102388E+00
  5.517585726848886E-02  -1.768296692750280E+00  -1.878648407287258E+00
  1.059038793696820E-01  -1.800759186243620E+00  -2.012566944982984E+00
  1.569016703558929E-01  -1.832703766692807E+00  -2.146507107404592E+00
  2.081325434536750E-01  -1.864199267126057E+00  -2.280464354033407E+00
  2.595664989619012E-01  -1.895302263007793E+00  -2.414435260931596E+00
  3.111786977855994E-01  -1.926059811550564E+00  -2.548417207121763E+00
  3.629483491318408E-01  -1.956511460922095E+00  -2.682408159185777E+00
  4.148578837613854E-01  -1.986690753128373E+00  -2.816406520651144E+00
  4.668923287001926E-01  -2.016626367288334E+00  -2.950411024688719E+00
  4.929522862952518E-01  -2.031510632571729E+00  -3.017415205162233E+00
  4.962116740198393E-01  -2.033367458689770E+00  -3.025790806729449E+00
  4.994714730931861E-01  -2.035223479525043E+00  -3.034166425711415E+00
