                    ell                       u                       v                       w
  0.000000000000000E+00   0.000000000000000E+00   0.000000000000000E+00   0.000000000000000E+00
  2.500000000000000E-02   1.843064795892565E-02  -6.880419593571951E-02  -2.324891606153872E-02
  4.416831868221550E-02   4.195276980153748E-02  -1.420379595378614E-01  -3.973046225597021E-02
  5.589637027517579E-02   7.275715570852273E-02  -2.176724415597050E-01  -4.520268893271306E-02
  5.907757782413878E-02   1.127356144664566E-01  -2.911562639434340E-01  -3.663135126886984E-02
  5.437597981171167E-02   1.616407815641057E-01  -3.574007029967147E-01  -1.556557360551191E-02
  4.404996747146089E-02   2.170683870174073E-01  -4.148138603828170E-01   1.275400678405014E-02
  3.042059293264084E-02   2.763590477052659E-01  -4.654783730605027E-01   4.341061605767086E-02
  1.519377793115437E-02   3.375412682507614E-01  -5.127708249711174E-01   7.325307574344753E-02
 -3.634614443798036E-04   3.991891511936865E-01  -5.599986202221914E-01   1.003163614287265E-01
 -1.512399188219138E-02   4.600248087076025E-01  -6.100302637811100E-01   1.230949343286023E-01
 -2.792019469526226E-02   5.185730218690937E-01  -6.651619547565415E-01   1.401327753495787E-01
 -3.753596829840637E-02   5.729497983739638E-01  -7.268351633601405E-01   1.499327964101698E-01
 -4.292328039889022E-02   6.209695672611955E-01  -7.952178545010594E-01   1.512040066065797E-01
 -4.356780442851518E-02   6.606920957711604E-01  -8.690592743898874E-01   1.433128284289313E-01
 -3.969724878489379E-02   6.910844721333738E-01  -9.462395984218137E-01   1.265190787166928E-01
 -3.210915733997301E-02   7.121848903476871E-01  -1.024671803138024E+00   1.017186254337852E-01
 -2.181185360012794E-02   7.247243209201926E-01  -1.102837978079771E+00   6.997183916818635E-02
 -9.766979150359064E-03   7.296608650513186E-01  -1.179817347167058E+00   3.218790542672392E-02
  3.202285257989929E-03   7.279004643999196E-01  -1.255089023236564E+00  -1.097183298716403E-02
  1.640865197859866E-02   7.201973991331729E-01  -1.328346690566190E+00  -5.907927564805718E-02
  2.926552276057866E-02   7.071430194905641E-01  -1.399363120928239E+00  -1.118895510220800E-01
  4.124846578039110E-02   6.891898985719398E-01  -1.467906050574393E+00  -1.692908642776615E-01
  5.186241819597452E-02   6.666840193858206E-01  -1.533680958221034E+00  -2.312606120115399E-01
  6.061634326870089E-02   6.398979378135090E-01  -1.596284879173546E+00  -2.978235966978784E-01
  6.700648746257953E-02   6.090654588461264E-01  -1.655161930797621E+00  -3.690048169002348E-01
  7.051157103434980E-02   5.744216439447661E-01  -1.709557337048686E+00  -4.447680942499752E-01
  7.060684144828440E-02   5.362525591221723E-01  -1.758474018858327E+00  -5.249331396822973E-01
  6.680702686829870E-02   4.949563787974448E-01  -1.800645512561970E+00  -6.090709554676276E-01
  5.874676508498772E-02   4.511114582851367E-01  -1.834546354371227E+00  -6.963911317044842E-01
  4.629299293063532E-02   4.055263669794191E-01  -1.858466332719006E+00  -7.856775373104893E-01
  2.966256495692410E-02   3.592689829299391E-01  -1.870615252080496E+00  -8.752855707097063E-01
  9.507788250218042E-03   3.136776401071034E-01  -1.869202453659473E+00  -9.632066086782477E-01
