s       Sr
0.0     1.0
0.2     0.98
0.49    0.99
0.99    0.96
1.2     0.95
1.29    0.93
1.39    0.9
1.5     0.87
1.59    0.8
1.68    0.72
1.77    0.64
1.87    0.54
1.89    0.49
1.98    0.46
2.16    0.36
2.38    0.27
2.59    0.22
2.37    0.23
2.17    0.25
1.98    0.27
1.78    0.29
1.69    0.31
1.6     0.33
1.39    0.37
1.28    0.4
1.19    0.43
1.1     0.48
0.99    0.52
1.19    0.5
1.28    0.47
1.39    0.46
1.6     0.41
1.8     0.37
1.91    0.35
1.99    0.33
2.17    0.27
2.77    0.18
3.0     0.16
3.5     0.12
3.94    0.1
4.95    0.09
9.99    0.06
20.0    0.05
49.98   0.04
20.14   0.04
10.06   0.03
5.02    0.04
3.97    0.04
3.52    0.05
3.04    0.06
2.78    0.08
2.57    0.11
2.39    0.12
2.18    0.14
1.97    0.16
1.9     0.2
1.78    0.21
1.7     0.23
1.58    0.24
1.51    0.26
1.4     0.29
1.29    0.31
1.2     0.33
1.11    0.36
0.98    0.4
0.69    0.66
0.5     0.85
0.4     0.92
0.3     0.96
0.2     0.95
0.1     0.98
