x	p100	p200	p250
0.002239	0.075957	0.173617	0.546383
0.020149	0.075974	0.173629	0.544468
0.020896	0.075957	0.173617	0.544385
0.038806	0.075336	0.173012	0.542553
0.039552	0.075319	0.172979	0.542493
0.056716	0.075311	0.172363	0.541277
0.058209	0.075319	0.17234	0.541141
0.074627	0.075315	0.172352	0.539362
0.076866	0.075319	0.17234	0.539138
0.093284	0.075349	0.171787	0.537447
0.094776	0.075331	0.171702	0.537248
0.095522	0.075319	0.171658	0.537144
0.111194	0.074803	0.170589	0.534255
0.113433	0.074711	0.170426	0.533739
0.114179	0.074681	0.170371	0.533562
0.128358	0.074165	0.169357	0.529787
0.131343	0.074067	0.169149	0.528924
0.13209	0.074043	0.169097	0.528706
0.146269	0.073573	0.168129	0.524681
0.15	0.073434	0.167872	0.523717
0.150746	0.073404	0.167821	0.52353
0.164179	0.072884	0.166866	0.520213
0.16791	0.072791	0.166596	0.519235
0.169403	0.072766	0.166487	0.518836
0.181343	0.072763	0.165648	0.515745
0.186567	0.072773	0.165319	0.514553
0.18806	0.072766	0.165232	0.514217
0.199254	0.07251	0.164529	0.511277
0.204478	0.072261	0.164043	0.509401
0.206716	0.072128	0.163783	0.508499
0.216418	0.071414	0.162438	0.504255
0.223134	0.070938	0.161489	0.501328
0.224627	0.070851	0.161296	0.50069
0.232836	0.070509	0.160368	0.497234
0.241045	0.070277	0.159574	0.493829
0.243284	0.070213	0.159364	0.492913
0.25	0.069989	0.158703	0.490213
0.258955	0.06967	0.15766	0.486738
0.26194	0.069574	0.157248	0.485585
0.266418	0.069448	0.15659	0.48383
0.276866	0.069092	0.155106	0.479582
0.279851	0.068936	0.154755	0.478349
0.283582	0.068693	0.154359	0.476809
0.294776	0.067878	0.153191	0.47213
0.298507	0.06766	0.152727	0.470474
0.3	0.067589	0.15253	0.469787
0.313433	0.067168	0.150638	0.463064
0.316418	0.067055	0.150232	0.461489
0.317164	0.067021	0.150131	0.461094
0.331343	0.066037	0.148085	0.45358
0.33209	0.065977	0.147958	0.453191
0.335075	0.065745	0.147421	0.451647
0.347761	0.064866	0.145023	0.444894
0.348507	0.064817	0.144894	0.444468
0.353731	0.064468	0.144063	0.441406
0.363433	0.063781	0.14273	0.435957
0.366418	0.063564	0.14234	0.434494
0.371642	0.063191	0.141648	0.432106
0.379851	0.062628	0.140485	0.428298
0.384328	0.062325	0.139787	0.425942
0.390299	0.061915	0.138771	0.422506
0.395522	0.061545	0.137829	0.419362
0.402239	0.061062	0.136596	0.415322
0.408209	0.060638	0.135519	0.411758
0.410448	0.060483	0.135121	0.410426
0.420149	0.059823	0.133404	0.404644
0.425373	0.059466	0.132476	0.401489
0.426866	0.059362	0.132211	0.400579
0.43806	0.058561	0.130213	0.393719
0.441045	0.058348	0.129681	0.391915
0.444776	0.058085	0.129016	0.389694
0.45597	0.057324	0.127021	0.382979
0.463433	0.056809	0.125687	0.378215
0.470896	0.056267	0.124358	0.373404
0.473881	0.05605	0.12383	0.371532
0.481343	0.055532	0.122506	0.367039
0.485821	0.055247	0.121676	0.364468
0.491045	0.054915	0.120638	0.361552
0.5	0.054255	0.11869	0.356438
0.501493	0.054124	0.118363	0.355532
0.508955	0.053368	0.116809	0.350641
0.515672	0.052601	0.115594	0.345957
0.51791	0.05234	0.11521	0.344401
0.526866	0.051337	0.113617	0.338269
0.530597	0.050957	0.112859	0.335745
0.536567	0.050426	0.111531	0.331726
0.54403	0.04991	0.109787	0.32668
0.544776	0.049862	0.109614	0.32617
0.554478	0.049149	0.107449	0.319545
0.558955	0.04869	0.106531	0.316596
0.56194	0.048352	0.105957	0.314697
0.572388	0.047234	0.104131	0.308034
0.573881	0.047109	0.103872	0.307021
0.579851	0.046693	0.102766	0.302729
0.58806	0.046179	0.100981	0.296809
0.591045	0.045957	0.100292	0.294829
0.597015	0.045401	0.098936	0.291056
0.602985	0.044738	0.097671	0.287234
0.608955	0.044043	0.096428	0.283083
0.614925	0.043378	0.095106	0.278688
0.617164	0.043138	0.094573	0.277021
0.626866	0.042128	0.092117	0.269944
0.631343	0.041667	0.090997	0.266809
0.632836	0.041514	0.090638	0.265788
0.645522	0.040213	0.087881	0.257234
0.650746	0.039676	0.086809	0.253539
0.659701	0.038721	0.084896	0.247021
0.663433	0.038298	0.084049	0.244314
0.66791	0.037769	0.082979	0.241088
0.673881	0.037084	0.081472	0.236809
0.681343	0.036383	0.07958	0.23146
0.685821	0.036086	0.078511	0.228226
0.68806	0.035957	0.078008	0.226596
0.7	0.035106	0.075497	0.217935
0.702239	0.034853	0.075013	0.216383
0.703731	0.034663	0.074681	0.215371
0.716418	0.032764	0.071561	0.206809
0.71791	0.032553	0.071175	0.205719
0.721642	0.032076	0.070213	0.202893
0.730597	0.031137	0.067947	0.195957
0.735821	0.030638	0.066655	0.19211
0.739552	0.030272	0.065745	0.189446
0.744776	0.029742	0.064489	0.185745
0.754478	0.028723	0.062247	0.178761
0.75597	0.028564	0.061915	0.177683
0.758955	0.028246	0.061259	0.175532
0.772388	0.026809	0.058263	0.165957
0.773134	0.026729	0.058085	0.165424
0.786567	0.025298	0.054628	0.155745
0.790299	0.024894	0.053617	0.153054
0.800746	0.02375	0.050817	0.145532
0.807463	0.023052	0.049149	0.140697
0.808209	0.022979	0.048974	0.140159
0.814925	0.022338	0.047477	0.135319
0.824627	0.021335	0.045319	0.128325
0.826866	0.021064	0.04478	0.126714
0.829104	0.02077	0.044222	0.125106
0.841791	0.018917	0.040851	0.116061
0.842537	0.018812	0.040649	0.115532
0.844776	0.018511	0.040045	0.113945
0.856716	0.017192	0.036933	0.105319
0.858955	0.016971	0.036383	0.103635
0.862687	0.016596	0.035498	0.100784
0.870149	0.015799	0.033784	0.095106
0.875373	0.015229	0.032553	0.091286
0.880597	0.014681	0.03125	0.08755
0.884328	0.014311	0.030281	0.084894
0.892537	0.013482	0.028085	0.078998
0.898507	0.012766	0.026472	0.074681
0.909701	0.011052	0.023617	0.066602
0.912687	0.010611	0.022931	0.064468
0.915672	0.010213	0.022271	0.062347
0.926119	0.009102	0.019962	0.054894
0.926866	0.009031	0.019787	0.054351
0.934328	0.008298	0.017932	0.048907
0.940299	0.007563	0.016345	0.044681
0.94403	0.007124	0.015319	0.042163
0.951493	0.006383	0.013271	0.037187
0.954478	0.006117	0.0125	0.035106
0.961194	0.005548	0.010851	0.030082
0.96791	0.005001	0.009267	0.024894
0.98209	0.003882	0.005997	0.014681
0.999254	0.002553	0.002085	0.002818
1	0.002496	0.001915	0.002304
1.001493	0.00238	0.001575	0.001277
